request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status,requiredResourceType,peopleAffected,priorityScore,description,dataNote
22,1,15,THEFT_REPORT,3,2026-08-06T07:17:00Z,2026-08-06T08:33:00Z,ASSIGNED,INVESTIGATION_TEAM,1,59,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
23,44,31,SUSPICIOUS_ACTIVITY,4,2026-08-04T16:56:00Z,2026-08-04T17:19:00Z,PENDING,PATROL_OFFICER,1,75,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
24,45,16,CROWD_CONTROL,3,2026-08-05T11:50:00Z,2026-08-05T13:48:00Z,COMPLETED,CROWD_CONTROL_TEAM,26,56,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
25,30,26,EMERGENCY_TRANSPORT,3,2026-08-06T18:40:00Z,2026-08-06T20:18:00Z,ASSIGNED,RAPID_RESPONSE_TEAM,4,56,Synthetic emergency transport request for project testing,Synthetic fictional request; not a report of a real incident
26,45,34,THEFT_REPORT,4,2026-08-06T09:26:00Z,2026-08-06T09:47:00Z,PENDING,INVESTIGATION_TEAM,1,72,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
27,1,21,MEDICAL_EMERGENCY,4,2026-08-03T07:55:00Z,2026-08-03T08:17:00Z,ASSIGNED,AMBULANCE,4,82,Synthetic medical emergency request for project testing,Synthetic fictional request; not a report of a real incident
28,44,34,CCTV_FAULT,2,2026-08-05T20:48:00Z,2026-08-05T23:27:00Z,IN_PROGRESS,CCTV_TECHNICIAN,1,44,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
29,1,34,SECURITY_ESCORT,4,2026-08-04T21:08:00Z,2026-08-04T21:36:00Z,COMPLETED,PATROL_OFFICER,1,77,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
30,4,24,ACCESS_CONTROL,1,2026-08-05T23:17:00Z,2026-08-06T08:08:00Z,COMPLETED,PATROL_OFFICER,1,21,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
31,4,31,SECURITY_ESCORT,2,2026-08-05T16:15:00Z,2026-08-05T19:19:00Z,ASSIGNED,PATROL_OFFICER,1,38,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
32,1,13,WELFARE_CHECK,4,2026-08-02T16:38:00Z,2026-08-02T17:09:00Z,PENDING,PATROL_OFFICER,1,76,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
33,3,27,SUSPICIOUS_ACTIVITY,5,2026-08-04T11:48:00Z,2026-08-04T12:02:00Z,ASSIGNED,PATROL_OFFICER,1,93,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
34,44,18,ACCESS_CONTROL,3,2026-08-03T07:01:00Z,2026-08-03T08:05:00Z,COMPLETED,PATROL_OFFICER,1,62,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
35,44,16,CROWD_CONTROL,4,2026-08-04T19:50:00Z,2026-08-04T20:22:00Z,COMPLETED,CROWD_CONTROL_TEAM,23,74,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
36,1,10,FIRE_ALARM,4,2026-08-02T10:32:00Z,2026-08-02T11:00:00Z,COMPLETED,FIRE_RESPONSE_UNIT,39,80,Synthetic fire alarm request for project testing,Synthetic fictional request; not a report of a real incident
37,4,28,SECURITY_ESCORT,4,2026-08-06T23:37:00Z,2026-08-07T00:15:00Z,COMPLETED,PATROL_OFFICER,1,75,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
38,3,43,CCTV_FAULT,2,2026-08-02T03:15:00Z,2026-08-02T06:28:00Z,PENDING,CCTV_TECHNICIAN,1,37,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
39,4,13,THEFT_REPORT,4,2026-08-04T21:55:00Z,2026-08-04T22:20:00Z,COMPLETED,INVESTIGATION_TEAM,1,73,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
40,30,36,WELFARE_CHECK,3,2026-08-06T20:35:00Z,2026-08-06T22:33:00Z,COMPLETED,PATROL_OFFICER,1,58,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
41,45,39,SECURITY_ESCORT,3,2026-08-01T15:05:00Z,2026-08-01T16:42:00Z,COMPLETED,PATROL_OFFICER,1,57,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
42,30,26,THEFT_REPORT,3,2026-08-03T12:54:00Z,2026-08-03T14:11:00Z,ASSIGNED,INVESTIGATION_TEAM,1,62,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
43,25,10,NIGHT_PATROL_REQUEST,2,2026-08-04T03:18:00Z,2026-08-04T08:23:00Z,COMPLETED,MOTORCYCLE_PATROL,1,40,Synthetic night patrol request for project testing,Synthetic fictional request; not a report of a real incident
44,4,31,WELFARE_CHECK,3,2026-08-01T12:32:00Z,2026-08-01T14:10:00Z,PENDING,PATROL_OFFICER,1,60,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
45,4,32,ACCESS_CONTROL,2,2026-08-03T14:12:00Z,2026-08-03T16:40:00Z,COMPLETED,PATROL_OFFICER,1,37,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
46,44,13,ACCESS_CONTROL,2,2026-08-04T20:23:00Z,2026-08-05T01:22:00Z,COMPLETED,PATROL_OFFICER,1,38,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
47,3,36,ROAD_OBSTRUCTION,4,2026-08-03T10:08:00Z,2026-08-03T10:34:00Z,COMPLETED,PATROL_VEHICLE,1,75,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
48,45,28,CCTV_FAULT,1,2026-08-02T17:13:00Z,2026-08-03T01:47:00Z,COMPLETED,CCTV_TECHNICIAN,1,20,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
49,30,22,SECURITY_ESCORT,2,2026-08-04T09:04:00Z,2026-08-04T12:17:00Z,COMPLETED,PATROL_OFFICER,1,41,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
50,30,1,SECURITY_ESCORT,3,2026-08-03T19:49:00Z,2026-08-03T20:46:00Z,COMPLETED,PATROL_OFFICER,1,58,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
51,25,14,CROWD_CONTROL,5,2026-08-04T00:18:00Z,2026-08-04T00:38:00Z,COMPLETED,CROWD_CONTROL_TEAM,58,97,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
52,30,3,CCTV_FAULT,2,2026-08-06T18:21:00Z,2026-08-06T20:24:00Z,PENDING,CCTV_TECHNICIAN,1,41,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
53,30,29,MEDICAL_EMERGENCY,5,2026-08-02T15:22:00Z,2026-08-02T15:38:00Z,COMPLETED,AMBULANCE,3,100,Synthetic medical emergency request for project testing,Synthetic fictional request; not a report of a real incident
54,45,10,THEFT_REPORT,4,2026-08-03T02:37:00Z,2026-08-03T03:01:00Z,PENDING,INVESTIGATION_TEAM,1,76,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
55,25,37,CCTV_FAULT,2,2026-08-03T09:05:00Z,2026-08-03T14:57:00Z,IN_PROGRESS,CCTV_TECHNICIAN,1,42,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
56,3,13,NIGHT_PATROL_REQUEST,2,2026-08-01T21:59:00Z,2026-08-02T01:50:00Z,COMPLETED,MOTORCYCLE_PATROL,1,43,Synthetic night patrol request for project testing,Synthetic fictional request; not a report of a real incident
57,45,21,WELFARE_CHECK,2,2026-08-02T22:45:00Z,2026-08-03T00:54:00Z,IN_PROGRESS,PATROL_OFFICER,1,40,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
58,3,48,SECURITY_ESCORT,3,2026-08-03T09:53:00Z,2026-08-03T10:45:00Z,IN_PROGRESS,PATROL_OFFICER,1,57,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
59,45,13,SECURITY_ESCORT,4,2026-08-03T17:25:00Z,2026-08-03T18:03:00Z,ASSIGNED,PATROL_OFFICER,1,74,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
60,3,18,THEFT_REPORT,3,2026-08-02T21:43:00Z,2026-08-02T23:41:00Z,ASSIGNED,INVESTIGATION_TEAM,1,54,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
61,1,14,SECURITY_ESCORT,3,2026-08-07T01:49:00Z,2026-08-07T03:21:00Z,COMPLETED,PATROL_OFFICER,1,58,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
62,30,39,CCTV_FAULT,3,2026-08-02T08:57:00Z,2026-08-02T10:24:00Z,PENDING,CCTV_TECHNICIAN,1,62,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
63,4,14,ROAD_OBSTRUCTION,3,2026-08-05T10:05:00Z,2026-08-05T11:37:00Z,IN_PROGRESS,PATROL_VEHICLE,1,54,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
64,30,20,SECURITY_ESCORT,3,2026-08-04T00:03:00Z,2026-08-04T01:31:00Z,PENDING,PATROL_OFFICER,1,54,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
65,44,50,CROWD_CONTROL,4,2026-08-05T20:59:00Z,2026-08-05T21:36:00Z,CANCELLED,CROWD_CONTROL_TEAM,61,76,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
66,1,32,CROWD_CONTROL,4,2026-08-06T02:04:00Z,2026-08-06T02:49:00Z,IN_PROGRESS,CROWD_CONTROL_TEAM,11,76,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
67,1,11,FIRE_ALARM,5,2026-08-05T11:21:00Z,2026-08-05T11:31:00Z,PENDING,FIRE_RESPONSE_UNIT,80,100,Synthetic fire alarm request for project testing,Synthetic fictional request; not a report of a real incident
68,45,22,CCTV_FAULT,2,2026-08-06T20:21:00Z,2026-08-07T00:37:00Z,IN_PROGRESS,CCTV_TECHNICIAN,1,37,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
69,45,33,SUSPICIOUS_ACTIVITY,4,2026-08-07T05:06:00Z,2026-08-07T05:49:00Z,COMPLETED,PATROL_OFFICER,1,74,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
70,3,40,WELFARE_CHECK,2,2026-08-03T05:31:00Z,2026-08-03T09:06:00Z,PENDING,PATROL_OFFICER,1,40,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
71,30,1,CCTV_FAULT,1,2026-08-02T19:01:00Z,2026-08-03T01:12:00Z,COMPLETED,CCTV_TECHNICIAN,1,23,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
72,4,19,CCTV_FAULT,2,2026-08-05T01:35:00Z,2026-08-05T05:20:00Z,ASSIGNED,CCTV_TECHNICIAN,1,39,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
73,30,48,SUSPICIOUS_ACTIVITY,4,2026-08-06T14:50:00Z,2026-08-06T15:24:00Z,PENDING,PATROL_OFFICER,1,78,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
74,25,36,MEDICAL_EMERGENCY,4,2026-08-04T05:08:00Z,2026-08-04T05:30:00Z,PENDING,AMBULANCE,4,87,Synthetic medical emergency request for project testing,Synthetic fictional request; not a report of a real incident
75,44,22,MEDICAL_EMERGENCY,5,2026-08-05T21:56:00Z,2026-08-05T22:11:00Z,PENDING,AMBULANCE,3,100,Synthetic medical emergency request for project testing,Synthetic fictional request; not a report of a real incident
76,1,27,WELFARE_CHECK,3,2026-08-03T12:49:00Z,2026-08-03T14:06:00Z,ASSIGNED,PATROL_OFFICER,1,62,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
77,4,5,THEFT_REPORT,2,2026-08-06T06:38:00Z,2026-08-06T11:49:00Z,COMPLETED,INVESTIGATION_TEAM,1,42,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
78,1,32,SECURITY_ESCORT,3,2026-08-03T01:01:00Z,2026-08-03T02:16:00Z,PENDING,PATROL_OFFICER,1,54,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
79,30,38,SECURITY_ESCORT,2,2026-08-06T03:37:00Z,2026-08-06T07:54:00Z,IN_PROGRESS,PATROL_OFFICER,1,40,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
80,45,23,SUSPICIOUS_ACTIVITY,4,2026-08-02T09:35:00Z,2026-08-02T10:14:00Z,PENDING,PATROL_OFFICER,1,78,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
81,45,44,EMERGENCY_TRANSPORT,4,2026-08-06T08:18:00Z,2026-08-06T08:50:00Z,COMPLETED,RAPID_RESPONSE_TEAM,2,74,Synthetic emergency transport request for project testing,Synthetic fictional request; not a report of a real incident
82,1,32,SUSPICIOUS_ACTIVITY,5,2026-08-03T20:06:00Z,2026-08-03T20:21:00Z,COMPLETED,PATROL_OFFICER,1,93,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
83,44,5,ROAD_OBSTRUCTION,4,2026-08-02T07:56:00Z,2026-08-02T08:21:00Z,IN_PROGRESS,PATROL_VEHICLE,1,77,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
84,25,14,THEFT_REPORT,2,2026-08-05T19:33:00Z,2026-08-05T22:37:00Z,PENDING,INVESTIGATION_TEAM,1,43,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
85,45,19,THEFT_REPORT,4,2026-08-02T20:39:00Z,2026-08-02T21:24:00Z,ASSIGNED,INVESTIGATION_TEAM,1,80,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
86,30,18,SECURITY_ESCORT,2,2026-08-06T08:00:00Z,2026-08-06T10:05:00Z,COMPLETED,PATROL_OFFICER,1,37,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
87,1,44,SECURITY_ESCORT,3,2026-08-05T13:29:00Z,2026-08-05T14:34:00Z,PENDING,PATROL_OFFICER,1,62,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
88,1,23,ROAD_OBSTRUCTION,3,2026-08-04T22:52:00Z,2026-08-04T23:45:00Z,PENDING,PATROL_VEHICLE,1,58,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
89,3,28,THEFT_REPORT,3,2026-08-02T11:57:00Z,2026-08-02T13:04:00Z,PENDING,INVESTIGATION_TEAM,1,61,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
90,3,20,SUSPICIOUS_ACTIVITY,3,2026-08-04T21:25:00Z,2026-08-04T23:11:00Z,ASSIGNED,PATROL_OFFICER,1,55,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
91,4,16,EMERGENCY_TRANSPORT,5,2026-08-04T22:52:00Z,2026-08-04T23:11:00Z,COMPLETED,RAPID_RESPONSE_TEAM,5,95,Synthetic emergency transport request for project testing,Synthetic fictional request; not a report of a real incident
92,30,3,EMERGENCY_TRANSPORT,4,2026-08-01T17:11:00Z,2026-08-01T17:36:00Z,IN_PROGRESS,RAPID_RESPONSE_TEAM,3,78,Synthetic emergency transport request for project testing,Synthetic fictional request; not a report of a real incident
93,44,34,WELFARE_CHECK,4,2026-08-04T04:36:00Z,2026-08-04T05:20:00Z,ASSIGNED,PATROL_OFFICER,1,73,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
94,25,40,CROWD_CONTROL,4,2026-08-05T03:51:00Z,2026-08-05T04:30:00Z,PENDING,CROWD_CONTROL_TEAM,60,78,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
95,44,12,CROWD_CONTROL,4,2026-08-04T22:25:00Z,2026-08-04T22:52:00Z,ASSIGNED,CROWD_CONTROL_TEAM,38,72,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
96,30,16,ACCESS_CONTROL,2,2026-08-02T08:31:00Z,2026-08-02T12:39:00Z,ASSIGNED,PATROL_OFFICER,1,39,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
97,30,33,ACCESS_CONTROL,2,2026-08-01T06:21:00Z,2026-08-01T09:13:00Z,PENDING,PATROL_OFFICER,1,39,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
98,25,13,CROWD_CONTROL,4,2026-08-04T04:08:00Z,2026-08-04T04:46:00Z,IN_PROGRESS,CROWD_CONTROL_TEAM,29,77,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
99,25,14,SUSPICIOUS_ACTIVITY,3,2026-08-06T23:18:00Z,2026-08-07T00:57:00Z,IN_PROGRESS,PATROL_OFFICER,1,58,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
100,30,24,SECURITY_ESCORT,3,2026-08-02T14:26:00Z,2026-08-02T15:21:00Z,IN_PROGRESS,PATROL_OFFICER,1,59,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
101,3,11,ROAD_OBSTRUCTION,3,2026-08-01T20:48:00Z,2026-08-01T22:29:00Z,COMPLETED,PATROL_VEHICLE,1,57,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
102,30,28,CROWD_CONTROL,4,2026-08-05T10:14:00Z,2026-08-05T10:54:00Z,COMPLETED,CROWD_CONTROL_TEAM,53,80,Synthetic crowd control request for project testing,Synthetic fictional request; not a report of a real incident
103,44,21,FIRE_ALARM,5,2026-08-06T01:38:00Z,2026-08-06T01:54:00Z,PENDING,FIRE_RESPONSE_UNIT,51,100,Synthetic fire alarm request for project testing,Synthetic fictional request; not a report of a real incident
104,1,40,SUSPICIOUS_ACTIVITY,4,2026-08-02T22:37:00Z,2026-08-02T23:00:00Z,COMPLETED,PATROL_OFFICER,1,80,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
105,25,12,NIGHT_PATROL_REQUEST,2,2026-08-06T16:18:00Z,2026-08-06T18:50:00Z,ASSIGNED,MOTORCYCLE_PATROL,1,43,Synthetic night patrol request for project testing,Synthetic fictional request; not a report of a real incident
106,30,28,MEDICAL_EMERGENCY,5,2026-08-06T14:17:00Z,2026-08-06T14:34:00Z,ASSIGNED,AMBULANCE,3,100,Synthetic medical emergency request for project testing,Synthetic fictional request; not a report of a real incident
107,45,15,CCTV_FAULT,1,2026-08-06T23:18:00Z,2026-08-07T09:40:00Z,PENDING,CCTV_TECHNICIAN,1,21,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
108,30,25,ACCESS_CONTROL,3,2026-08-03T15:13:00Z,2026-08-03T17:05:00Z,ASSIGNED,PATROL_OFFICER,1,55,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
109,3,10,ACCESS_CONTROL,1,2026-08-02T14:48:00Z,2026-08-02T23:19:00Z,PENDING,PATROL_OFFICER,1,22,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
110,1,20,ROAD_OBSTRUCTION,3,2026-08-02T08:19:00Z,2026-08-02T09:32:00Z,ASSIGNED,PATROL_VEHICLE,1,62,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
111,25,24,SUSPICIOUS_ACTIVITY,4,2026-08-02T21:14:00Z,2026-08-02T21:37:00Z,COMPLETED,PATROL_OFFICER,1,75,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
112,45,1,SUSPICIOUS_ACTIVITY,3,2026-08-06T05:09:00Z,2026-08-06T06:01:00Z,PENDING,PATROL_OFFICER,1,59,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
113,4,41,CCTV_FAULT,1,2026-08-02T11:40:00Z,2026-08-02T23:31:00Z,COMPLETED,CCTV_TECHNICIAN,1,23,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
114,25,36,WELFARE_CHECK,3,2026-08-04T03:02:00Z,2026-08-04T05:01:00Z,PENDING,PATROL_OFFICER,1,62,Synthetic welfare check request for project testing,Synthetic fictional request; not a report of a real incident
115,44,35,SECURITY_ESCORT,4,2026-08-01T07:12:00Z,2026-08-01T07:57:00Z,PENDING,PATROL_OFFICER,1,80,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
116,44,50,CCTV_FAULT,2,2026-08-03T17:37:00Z,2026-08-03T23:37:00Z,IN_PROGRESS,CCTV_TECHNICIAN,1,41,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
117,45,35,SUSPICIOUS_ACTIVITY,4,2026-08-06T16:49:00Z,2026-08-06T17:27:00Z,PENDING,PATROL_OFFICER,1,75,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
118,25,15,SUSPICIOUS_ACTIVITY,4,2026-08-06T02:00:00Z,2026-08-06T02:20:00Z,COMPLETED,PATROL_OFFICER,1,76,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
119,44,7,SUSPICIOUS_ACTIVITY,4,2026-08-07T02:49:00Z,2026-08-07T03:26:00Z,ASSIGNED,PATROL_OFFICER,1,72,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
120,44,33,THEFT_REPORT,3,2026-08-02T14:08:00Z,2026-08-02T15:44:00Z,PENDING,INVESTIGATION_TEAM,1,57,Synthetic theft report request for project testing,Synthetic fictional request; not a report of a real incident
121,1,33,CCTV_FAULT,3,2026-08-07T00:10:00Z,2026-08-07T02:06:00Z,ASSIGNED,CCTV_TECHNICIAN,1,58,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
122,30,10,SUSPICIOUS_ACTIVITY,4,2026-08-07T05:58:00Z,2026-08-07T06:21:00Z,PENDING,PATROL_OFFICER,1,75,Synthetic suspicious activity request for project testing,Synthetic fictional request; not a report of a real incident
123,45,10,ACCESS_CONTROL,2,2026-08-02T10:09:00Z,2026-08-02T12:25:00Z,COMPLETED,PATROL_OFFICER,1,40,Synthetic access control request for project testing,Synthetic fictional request; not a report of a real incident
124,44,41,ROAD_OBSTRUCTION,4,2026-08-06T06:36:00Z,2026-08-06T07:21:00Z,COMPLETED,PATROL_VEHICLE,1,74,Synthetic road obstruction request for project testing,Synthetic fictional request; not a report of a real incident
125,25,18,CCTV_FAULT,2,2026-08-03T19:09:00Z,2026-08-04T00:22:00Z,COMPLETED,CCTV_TECHNICIAN,1,44,Synthetic cctv fault request for project testing,Synthetic fictional request; not a report of a real incident
126,44,15,NIGHT_PATROL_REQUEST,3,2026-08-03T23:43:00Z,2026-08-04T01:40:00Z,COMPLETED,MOTORCYCLE_PATROL,1,58,Synthetic night patrol request for project testing,Synthetic fictional request; not a report of a real incident
127,44,21,SECURITY_ESCORT,4,2026-08-06T23:49:00Z,2026-08-07T00:29:00Z,PENDING,PATROL_OFFICER,1,78,Synthetic security escort request for project testing,Synthetic fictional request; not a report of a real incident
